index	sample	unaligned_paired	aligned_paired	unaligned_R1	aligned_R1	unaligned_R2	aligned_R2
wolbachia	BrK02-1	3063828	0	1654949	0	1660783	0
wolbachia	BrK26-1	5179960	0	2787330	0	2777525	0
wolbachia	Gv10-F-08	5524232	0	2969030	0	2922046	0
wolbachia	Gv10-H-10	6569216	0	3535954	0	3513223	0
wolbachia	KD04	6242558	19524	3206491	21094	3222332	24444
wolbachia	KD13	6783830	69436	3487489	6953	3479067	8367
wolbachia	W08	8252832	177412	4187688	20757	4214611	28080
AaegL1	BrK02-1	3063828	734972	1287463	258696	1293297	234242
AaegL1	BrK26-1	5179960	1142946	2215857	450788	2206052	408483
AaegL1	Gv10-F-08	5524232	932826	2502617	579824	2455633	516021
AaegL1	Gv10-H-10	6569216	1345750	2863079	625533	2840348	565034
AaegL1	KD04	6135974	604320	2883237	658097	2895728	568979
AaegL1	KD13	6688528	1998420	2481326	373659	2471490	346061
AaegL1	W08	7992272	2301580	3016141	479297	3035741	457817
